10 - squareNumbersBackwards,,,,,
contador,resultado,resultado<=100,resultado>1,reversoPerfeitos.push,contador--
100,-,-,-,-,-
100,100*100,False,-,-,-
99,99*99,False,-,-,-
98,98*98,False,-,-,-
97,97*97,False,-,-,-
...,...,...,...,...,...
50,50*50,False,-,-,-
...,...,...,...,...,...
25,25*25,False,-,-,-
..,..,..,...,...,...
10,10*10,True,True,100,100
9,9*9,True,True,81,"100 , 81"
8,8*8,True,True,64,"100 , 81 , 64"
7,7*7,True,True,49,"100 , 81 , 64 , 49"
6,6*6,True,True,36,"100 , 81 , 64 , 49 , 36"
5,5*5,True,True,25,"100 , 81 , 64 , 49 , 36 , 25"
4,4*4,True,True,16,"100 , 81 , 64 , 49 , 36 , 25 , 16"
3,3*3,True,True,9,"100 , 81 , 64 , 49 , 36 , 25 , 16 , 9"
2,2*2,True,True,4,"100 , 81 , 64 , 49 , 36 , 25 , 16 , 9 , 4"
1,1*1,True,True,1,"100 , 81 , 64 , 49 , 36 , 25 , 16 , 9 , 4 , 1"
0,0,True,False,-,"100 , 81 , 64 , 49 , 36 , 25 , 16 , 9 , 4 , 1"
,,,,,
