1 - oneThroughTwenty,,,
i,i <21,console.log(i),i++
1,-,-,-
1,true,-,-
1,true,1,0 +1
2,true,"1,2",1+1
3,true,"1,2,3",2+1
4,true,"1,2,3,4",3+1
5,true,"1,2,3,4,5",4+1
6,true,"1,2,3,4,5,6",5+1
7,true,"1,2,3,4,5,6,7",6+1
8,true,"1,2,3,4,5,6,7,8",7+1
9,true,"1,2,3,4,5,6,7,8,9",8+1
10,true,"1,2,3,4,5,6,7,8,9,10",9+1
11,true,"1,2,3,4,5,6,7,8,9,10,11",10+1
12,true,"1,2,3,4,5,6,7,8,9,10,11,12",11+1
13,true,"1,2,3,4,5,6,7,8,9,10,11,12,13",12+1
14,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",13+1
15,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",14+1
16,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",15+1
17,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",16+1
18,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",17+1
19,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",18+1
20,true,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",19+1
21,false,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",-
