3 - oddsToTwenty,,,,,
ímpares,i,i<=20,i++,i%2 != 0?,pares.push
0,-,-,-,-,-
0,1,-,-,-,-
0,1,true,-,-,-
0,1,true,1+0,true,1
1,2,true,1+1,false,-
1,3,true,2+1,true,3
"1,3",4,true,3+1,false,-
"1,3",5,true,4+1,true,5
"1,3,5",6,true,5+1,false,-
"1,3,5",7,true,6+1,true,7
"1,3,5,7",8,true,7+1,false,-
"1,3,5,7",9,true,8+1,true,9
"1,3,5,7,9",10,true,9+1,false,-
"1,3,5,7,9",11,true,10+1,true,11
"1,3,5,7,9,11",12,true,11+1,false,-
"1,3,5,7,9,11",13,true,12+1,true,13
"1,3,5,7,9,11,13",14,true,13+1,false,-
"1,3,5,7,9,11,13",15,true,14+1,true,15
"1,3,5,7,9,11,13,15",16,true,15+1,false,-
"1,3,5,7,9,11,13,15",17,true,16+1,true,17
"1,3,5,7,9,11,13,17",18,true,17+1,false,-
"1,3,5,7,9,11,13,17",19,true,18+1,true,19
"1,3,5,7,9,11,13,19",20,true,19+1,false,-
