4 - multiplesOfFive,,,,,
multiplos,i,i<=100,i++,i%5 == 0,multiplos.push
0,-,-,-,-,-
0,5,-,-,-,-
0,5,true,-,-,-
0,5,true,5+0,true,5
5,6,true,5+1,false,-
5,7,true,6+1,false,-
5,8,true,7+1,false,-
5,9,true,8+1,false,-
5,10,true,9+1,true,10
"5,10",11,true,10+1,false,-
"5,10",12,true,11+1,false,-
"5,10",13,true,12+1,false,-
"5,10",14,true,13+1,false,-
"5,10",15,true,14+1,true,15
"5,10,15",16,true,15+1,false,-
"5,10,15",17,true,16+1,false,-
"5,10,15",18,true,17+1,false,-
"5,10,15",19,true,18+1,false,-
"5,10,15",20,true,19+1,true,20
...,...,...,...,...,...
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90",91,true,90+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90",92,true,91+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90",93,true,92+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90",94,true,93+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90",95,true,94+1,true,95
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95",96,true,95+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95",97,true,96+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95",98,true,97+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95",99,true,98+1,false,-
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95",100,true,99+1,true,100
"5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100",101,false,-,-,-
,,,,,
,,true,,,
