6 - countingBackwards,,,
i,i >0,console.log(i),i--
20,-,-,-
20,true,-,-
20,true,20,20-0
19,true,"20,19",20-1
18,true,"20,19,18",19-1
17,true,"20,19,18,17",18-1
16,true,"20,19,18,17,16",17-1
15,true,"20,19,18,17,16,15",16-1
14,true,"20,19,18,17,16,15,14",15-1
13,true,"20,19,18,17,16,15,14,13",14-1
12,true,"20,19,18,17,16,15,14,13,12",13-1
11,true,"20,19,18,17,16,15,14,13,12,11",12-1
10,true,"20,19,18,17,16,15,14,13,12,11,10",11-1
9,true,"20,19,18,17,16,15,14,13,12,11,10,9",10-1
8,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,",9-1
7,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7",8-1
6,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6",7-1
5,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5",6-1
4,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4",5-1
3,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3",4-1
2,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2",3-1
1,true,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",2-1
0,false,"20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",-
,,,
