7 - evenNumbersBackwards,,,,,
i,i>=1,i % 2 ==0,i--,reversoPares.push,reversoPares
20,-,-,-,-,-
20,true,true,-,-,-
20,true,true,20-0,20,20
19,true,false,20-1,-,20
18,true,true,19-1,18,"20,18"
17,true,false,18-1,-,"20,18"
16,true,true,17-1,16,"20,18,16"
15,true,false,16-1,-,"20,18,16"
14,true,true,15-1,14,"20,18,16,14"
13,true,false,14-1,-,"20,18,16,14"
12,true,true,13-1,12,"20,18,16,14,12"
11,true,false,12-1,-,"20,18,16,14,12"
10,true,true,11-1,10,"20,18,16,14,12,10"
9,true,false,10-1,-,"20,18,16,14,12,10"
8,true,true,9-1,8,"20,18,16,14,12,10,8"
7,true,false,8-1,-,"20,18,16,14,12,10,8"
6,true,true,7-1,6,"20,18,16,14,12,10,8,6"
5,true,false,6-1,-,"20,18,16,14,12,10,8,6"
4,true,true,5-1,4,"20,18,16,14,12,10,8,6,4"
3,true,false,4-1,-,"20,18,16,14,12,10,8,6,4"
2,true,true,3-1,2,"20,18,16,14,12,10,8,6,4,2"
1,true,false,2-1,-,"20,18,16,14,12,10,8,6,4,2"
0,false,-,-,-,"20,18,16,14,12,10,8,6,4,2"
