8 - oddNumbersBackwards,,,,,
i,i>=1,i % 2 != 0,i--,contarReverso.push(i),contarReverso
20,-,-,-,-,-
20,True,False,-,-,-
20,True,False,20-0,-,-
19,True,True,20-1,19,19
18,True,False,19-1,-,19
17,True,True,18-1,17,"19,17"
16,True,False,17-1,-,"19,17"
15,True,True,16-1,15,"19,17,15"
14,True,False,15-1,-,"19,17,15"
13,True,True,14-1,13,"19,17,15,13"
12,True,False,13-1,-,"19,17,15,13"
11,True,True,12-1,11,"19,17,15,13,11"
10,True,False,11-1,-,"19,17,15,13,11"
9,True,True,10-1,9,"19,17,15,13,11,9"
8,True,False,9-1,-,"19,17,15,13,11,9"
7,True,True,8-1,7,"19,17,15,13,11,9,7,"
6,True,False,7-1,-,"19,17,15,13,11,9,7"
5,True,True,6-1,5,"19,17,15,13,11,9,7,5"
4,True,False,5-1,-,"19,17,15,13,11,9,7,5"
3,True,True,4-1,3,"19,17,15,13,11,9,7,5,3"
2,True,False,3-1,-,"19,17,15,13,11,9,7,5,3"
1,True,True,2-1,1,"19,17,15,13,11,9,7,5,3,1"
0,False,-,-,-,"19,17,15,13,11,9,7,5,3,1"
