9 - multiplesOfFiveBackwards,,,,,
i,i>=5,i % 5 == 0,i--,reversoMultiplos.push,reversoMultiplos
100,-,-,-,-,-
100,True,True,-,-,-
100,True,True,100-0,100,100
99,True,False,100-1,-,100
98,True,False,99-1,-,100
97,True,False,98-1,-,100
96,True,False,97-1,-,100
95,True,True,96-1,95,"100,95"
94,True,False,95-1,-,"100,95"
93,True,False,94-1,-,"100,95"
92,True,False,93-1,-,"100,95"
91,True,False,92-1,-,"100,95"
90,True,True,91-1,90,"100,95,90"
89,True,False,90-1,-,"100,95,90"
88,True,False,89-1,-,"100,95,90"
87,True,False,88-1,-,"100,95,90"
86,True,False,87-1,-,"100,95,90"
85,True,True,86-1,85,"100,95,90,85"
...,...,...,...,...,...
15,True,True,16-1,15,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15"
14,True,False,15-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15"
13,True,False,14-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15"
12,True,False,13-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15"
11,True,False,12-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15"
10,True,True,11-1,10,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10"
9,True,False,10-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10"
8,True,False,9-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10"
7,True,False,8-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10"
6,True,False,7-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10"
5,True,True,6-1,5,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
4,True,False,5-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
3,True,False,4-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
2,True,False,3-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
1,True,False,2-1,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
0,False,-,-,-,"100,95,90,85,80,75,70,65,60,55,50,45,40,35,30,25,20,15,10,5"
,,,,,
